               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 100,             0.83935,             0.55382,              1.2062,             0.94061,              0.8366,             0.92431,             0.65341,               2.271,              1.4443,               3.209,           0.0003466,           0.0003466,           0.0003466
                 101,             0.83662,             0.54892,              1.1895,             0.90477,             0.85382,             0.93162,             0.66468,              2.2551,               1.415,              3.2113,             0.00034,             0.00034,             0.00034
                 102,             0.83323,             0.54946,              1.1996,             0.91733,             0.85221,              0.9239,             0.65907,              2.2969,              1.4748,              3.2202,           0.0003334,           0.0003334,           0.0003334
                 103,              0.8271,              0.5455,               1.186,             0.90824,             0.85714,             0.92539,             0.66398,              2.2445,              1.4675,              3.1582,           0.0003268,           0.0003268,           0.0003268
                 104,             0.82004,              0.5426,              1.1904,              0.8878,             0.89213,             0.93892,             0.67551,              2.2296,              1.3326,              3.1989,           0.0003202,           0.0003202,           0.0003202
                 105,             0.81125,             0.54243,              1.1873,             0.90418,             0.84967,             0.92447,             0.66817,              2.2515,              1.4144,              3.1997,           0.0003136,           0.0003136,           0.0003136
                 106,             0.82419,             0.53949,              1.1931,             0.92234,             0.83448,             0.92717,             0.66207,              2.2264,              1.4265,              3.1683,            0.000307,            0.000307,            0.000307
                 107,             0.80279,             0.53532,              1.1799,             0.88536,             0.88337,             0.92861,             0.66296,              2.2554,              1.4318,              3.1885,           0.0003004,           0.0003004,           0.0003004
                 108,             0.80852,             0.52907,              1.1775,             0.88319,             0.86481,             0.92055,             0.65218,              2.3006,              1.4791,              3.2557,           0.0002938,           0.0002938,           0.0002938
                 109,             0.80236,             0.52177,              1.1639,             0.94077,              0.8366,             0.93262,             0.66576,              2.2644,              1.4107,               3.223,           0.0002872,           0.0002872,           0.0002872
                 110,             0.80235,             0.52707,              1.1633,             0.91826,             0.84442,             0.91377,             0.65057,              2.2999,              1.4605,              3.2543,           0.0002806,           0.0002806,           0.0002806
